person_id,age,wages,collgrad,male
1,40,21000,0,0
2,43,60000,1,1
3,37,0,1,0
4,40,70000,1,1
5,50,48002,0,1
6,51,0,0,1
7,60,0,0,1
8,56,0,0,0
9,25,22000,0,0
10,25,24000,0,1
11,52,0,0,0
12,43,0,0,1
13,35,0,0,1
14,28,75000,1,1
15,61,10000,0,0
16,25,70000,1,1
17,33,35000,0,1
18,31,50000,1,0
19,61,135000,1,0
20,64,36000,1,1
21,54,25000,0,0
22,56,74000,1,1
23,27,63500,1,1
24,44,2400,0,1
25,50,28000,0,0
26,54,75000,0,1
27,22,4500,0,0
28,20,7500,0,0
29,46,81000,1,1
30,40,85000,1,0
31,63,0,0,0
32,39,0,0,0
33,43,35000,0,1
34,40,25000,1,1
35,28,33000,0,0
36,29,33000,0,1
37,55,38000,0,0
38,56,0,0,1
39,27,20000,1,0
40,59,40000,0,0
41,50,25000,0,1
42,56,25000,0,0
43,26,5200,0,1
44,55,0,0,0
45,57,10000,0,1
46,57,36000,0,0
47,65,0,1,0
48,33,70000,1,0
49,42,40000,0,1
50,30,0,1,0
51,30,45000,0,1
52,28,30000,0,1
53,32,0,1,0
54,65,104000,0,1
55,61,26000,0,0
56,49,23486,0,0
57,56,60000,0,1
58,22,35000,0,1
59,33,55000,0,1
60,48,0,0,1
61,55,18000,0,0
62,21,0,0,1
63,47,12000,0,1
64,60,35000,0,0
65,19,0,0,0
66,29,0,1,0
67,33,15300,0,1
68,53,24000,0,0
69,20,1400,0,0
70,23,0,0,0
71,59,0,0,1
72,59,0,0,1
73,52,53000,0,0
74,60,0,0,1
75,54,107000,0,0
76,18,580,0,0
77,62,144500,1,0
78,39,0,0,0
79,55,15732,0,0
80,47,0,0,1
81,21,0,0,1
82,19,0,0,0
83,53,900000,0,0
84,51,45000,0,1
85,49,0,0,0
86,28,30000,1,0
87,59,27500,0,0
88,53,24960,1,0
89,51,12000,1,1
90,64,0,1,0
91,40,60000,0,1
92,51,0,0,1
93,51,0,0,1
94,47,28000,0,1
95,51,1000,0,1
96,29,0,0,0
97,35,25000,0,1
98,62,0,0,1
