ORG_LEVEL,CITY,AREA,DISTRICT,SAFETY
Other,chicago,area_5,25,61.28
Other,chicago,area_5,25,54.46
Other,chicago,area_5,25,48.46
Other,chicago,area_5,25,60.51
Other,chicago,area_5,25,55.5
Other,chicago,area_5,25,52.8
Other,chicago,area_5,25,61.76
Other,chicago,area_5,25,59.35
Other,chicago,area_5,25,66.74
Other,chicago,area_5,25,60.08
Other,chicago,area_5,25,53.78
Other,chicago,area_5,25,58.78
Other,chicago,area_5,25,65.64
Other,chicago,area_5,25,60.29
Other,chicago,area_5,25,70.16
Other,chicago,area_5,25,62.39
Other,chicago,area_5,25,60.82
Other,chicago,area_5,25,65.43
Other,chicago,area_5,25,60.45
Other,chicago,area_5,25,60.37
Other,chicago,area_5,25,58.08
Other,chicago,area_5,25,54.47
Other,chicago,area_5,25,62.88
Other,chicago,area_5,25,58.55
Other,chicago,area_5,25,60.99
Other,chicago,area_5,25,54.15
Other,chicago,area_5,25,53.91
Other,chicago,area_5,25,53.84
Other,chicago,area_5,25,56.11
Other,chicago,area_5,25,49.79
Other,chicago,area_5,25,53.56
Other,chicago,area_5,25,52.62
Other,chicago,area_5,25,57.33
Other,chicago,area_5,25,54.13
Other,chicago,area_5,25,45.66
Other,chicago,area_5,25,57.44
Other,chicago,area_5,25,50.36
Other,chicago,area_5,25,61.46
Other,chicago,area_5,25,56.34
Other,chicago,area_5,25,58.14
Other,chicago,area_5,25,52.46
Other,chicago,area_5,25,57.34
Other,chicago,area_5,25,65.86
Other,chicago,area_5,25,49.21
Other,chicago,area_5,25,59.11
Other,chicago,area_5,25,62.23
Other,chicago,area_5,25,55.11
Other,chicago,area_5,25,63.64
Other,chicago,area_5,25,65.58
Other,chicago,area_5,25,58.44
Other,chicago,area_5,25,55.38
Other,chicago,area_5,25,60.77
Other,chicago,area_5,25,70.88
Other,chicago,area_5,25,50.77
Other,chicago,area_5,25,65.79
Other,chicago,area_5,25,57.99
Other,chicago,area_5,25,57.68
Other,chicago,area_5,25,56.1
Other,chicago,area_5,25,58.34
Other,chicago,area_5,25,59.87
Other,chicago,area_5,25,59.11
Other,chicago,area_5,25,64.09
Other,chicago,area_5,25,55.88
Other,chicago,area_5,25,60.14
Other,chicago,area_5,25,55.66
Other,chicago,area_5,25,62.26
Other,chicago,area_5,25,71.85
Other,chicago,area_5,25,58
Other,chicago,area_5,25,52.8
Other,chicago,area_5,25,64.25
Other,chicago,area_5,25,54.63
Other,chicago,area_5,25,59.08
Other,chicago,area_5,25,58.71
Other,chicago,area_5,25,61.05
Other,chicago,area_5,25,54.89
Other,chicago,area_5,25,61.7
Other,chicago,area_5,25,60.17
Other,chicago,area_5,25,60.09
Other,chicago,area_5,25,48.29
Other,chicago,area_5,25,54.46
Other,chicago,area_5,25,65.13
Other,chicago,area_5,25,62.5
Other,chicago,area_5,25,62.71
Other,chicago,area_5,25,50.18
Other,chicago,area_5,25,62.26
Other,chicago,area_5,25,55.29
Other,chicago,area_5,25,65.85
Other,chicago,area_5,25,61.14
Other,chicago,area_5,25,69.55
Other,chicago,area_5,25,61.49
Other,chicago,area_5,25,56.72
Other,chicago,area_5,25,65.03
Other,chicago,area_5,25,55.74
Other,chicago,area_5,25,64.77
Other,chicago,area_5,25,56.58
Other,chicago,area_5,25,63.82
Other,chicago,area_5,25,50.45
Other,chicago,area_5,25,57.48
Other,chicago,area_5,25,60.25
Other,chicago,area_5,25,48.6
Other,chicago,area_5,25,63.3
Other,chicago,area_5,25,61.07
Other,chicago,area_5,25,62.19
Other,chicago,area_5,25,60.91
Other,chicago,area_5,25,59.84
Other,chicago,area_5,25,53.91
Other,chicago,area_5,25,59.34
Other,chicago,area_5,25,59.8
Other,chicago,area_5,25,58.19
Other,chicago,area_5,25,54.3
Other,chicago,area_5,25,56.68
Other,chicago,area_5,25,59.94
Other,chicago,area_5,25,58.32
Other,chicago,area_5,25,54.18
Other,chicago,area_5,25,57.89
Other,chicago,area_5,25,57.23
Other,chicago,area_5,25,63.65
Other,chicago,area_5,25,57.72
Other,chicago,area_5,25,52.95
Other,chicago,area_5,25,53.6
Other,chicago,area_5,25,59.87
Other,chicago,area_5,25,54.73
Other,chicago,area_5,25,52.98
Other,chicago,area_5,25,54.82
Other,chicago,area_5,25,52.24
Other,chicago,area_5,25,58.75
Other,chicago,area_5,25,56.78
Other,chicago,area_5,25,53.32
Other,chicago,area_5,25,54.82
Other,chicago,area_5,25,55.12
Other,chicago,area_5,25,48.97
Other,chicago,area_5,25,64.81
Other,chicago,area_5,25,60.27
Other,chicago,area_5,25,59.08
Other,chicago,area_5,25,55.74
Other,chicago,area_5,25,51.02
Other,chicago,area_5,25,56.53
Other,chicago,area_5,25,63.32
Other,chicago,area_5,25,57.58
Other,chicago,area_5,25,55.37
Other,chicago,area_5,25,54.04
Other,chicago,area_5,25,55.32
Other,chicago,area_5,25,52.35
Other,chicago,area_5,25,62.38
Other,chicago,area_5,25,61.64
Other,chicago,area_5,25,51.56
Other,chicago,area_5,25,59.74
Other,chicago,area_5,25,55.38
Other,chicago,area_5,25,54.42
Other,chicago,area_5,25,58.85
Other,chicago,area_5,25,54.39
Other,chicago,area_5,25,64.74
Other,chicago,area_5,25,57.09
Other,chicago,area_5,25,63.11
Other,chicago,area_5,25,51
Other,chicago,area_5,25,62.93
Other,chicago,area_5,25,59.76
Other,chicago,area_5,25,68.06
Other,chicago,area_5,25,57.48
Other,chicago,area_5,25,56.44
Other,chicago,area_5,25,64.95
Other,chicago,area_5,25,61.9
Other,chicago,area_5,25,61.01
Other,chicago,area_5,25,59.81
Other,chicago,area_5,25,61.33
Other,chicago,area_5,25,53.49
Other,chicago,area_5,25,61.4
Other,chicago,area_5,25,55.78
Other,chicago,area_5,25,63.19
Other,chicago,area_5,25,62.12
Other,chicago,area_5,25,55.62
Other,chicago,area_5,25,62.07
Other,chicago,area_5,25,58.54
Other,chicago,area_5,25,54.78
Other,chicago,area_5,25,58.53
Other,chicago,area_5,25,58.5
Other,chicago,area_5,25,63.6
Other,chicago,area_5,25,61.15
Other,chicago,area_5,25,57.82
Other,chicago,area_5,25,59.38
Other,chicago,area_5,25,53.85
Other,chicago,area_5,25,65.37
Other,chicago,area_5,25,56.65
Other,chicago,area_5,25,62.73
Other,chicago,area_5,25,57.08
Other,chicago,area_5,25,60.52
Other,chicago,area_5,25,62.28
Other,chicago,area_5,25,61.21
Other,chicago,area_5,25,60.94
Other,chicago,area_5,25,59.57
Other,chicago,area_5,25,51.92
Other,chicago,area_5,25,56.92
Other,chicago,area_5,25,59.63
Other,chicago,area_5,25,54.08
Other,chicago,area_5,25,60.26
Other,chicago,area_5,25,64.12
Other,chicago,area_5,25,51.48
Other,chicago,area_5,25,61.73
Other,chicago,area_5,25,56.46
Other,chicago,area_5,25,57.36
Other,chicago,area_5,25,55.36
Other,chicago,area_5,25,62.12
Other,chicago,area_5,25,67.15
Other,chicago,area_5,25,58.89
Other,chicago,area_5,25,51.06
Other,chicago,area_5,25,57.44
Other,chicago,area_5,25,57.99
Other,chicago,area_5,25,50.19
Other,chicago,area_5,25,67.3
Other,chicago,area_5,25,56.48
Other,chicago,area_5,25,62.74
Other,chicago,area_5,25,53.93
Other,chicago,area_5,25,56.62
Other,chicago,area_5,25,53.42
Other,chicago,area_5,25,55.01
Other,chicago,area_5,25,61.96
Other,chicago,area_5,25,47.35
Other,chicago,area_5,25,55.02
Other,chicago,area_5,25,59.62
Other,chicago,area_5,25,59.18
Other,chicago,area_5,25,61.86
Other,chicago,area_5,25,58.49
Other,chicago,area_5,25,58.33
Other,chicago,area_5,25,53.02
Other,chicago,area_5,25,46.09
Other,chicago,area_5,25,53.15
Other,chicago,area_5,25,53.85
Other,chicago,area_5,25,63.25
Other,chicago,area_5,25,54.18
Other,chicago,area_5,25,59.24
Other,chicago,area_5,25,59.93
Other,chicago,area_5,25,63.19
Other,chicago,area_5,25,55.65
Other,chicago,area_5,25,66.8
Other,chicago,area_5,25,57.69
Other,chicago,area_5,25,52.9
Other,chicago,area_5,25,59.65
Other,chicago,area_5,25,64.94
Other,chicago,area_5,25,60.39
Other,chicago,area_5,25,62.7
Other,chicago,area_5,25,65.79
Other,chicago,area_5,25,60.82
Other,chicago,area_5,25,61.33
Other,chicago,area_5,25,58.58
Other,chicago,area_5,25,58.78
Other,chicago,area_5,25,54.56
Other,chicago,area_5,25,59.27
Other,chicago,area_5,25,56.37
Other,chicago,area_5,25,57.1
Other,chicago,area_5,25,54.35
Other,chicago,area_5,25,55.8
Other,chicago,area_5,25,51.73
Other,chicago,area_5,25,61.51
Other,chicago,area_5,25,56.57
Other,chicago,area_5,25,60.86
Other,chicago,area_5,25,60.48
Other,chicago,area_5,25,62.31
Other,chicago,area_5,25,57.18
Other,chicago,area_5,25,73.12
Other,chicago,area_5,25,56.55
Other,chicago,area_5,25,59.88
Other,chicago,area_5,25,49.44
Other,chicago,area_5,25,59.84
Other,chicago,area_5,25,56.66
Other,chicago,area_5,25,49.01
Other,chicago,area_5,25,55.97
Other,chicago,area_5,25,62.15
Other,chicago,area_5,25,65.8
Other,chicago,area_5,25,54.52
Other,chicago,area_5,25,62.13
Other,chicago,area_5,25,59.35
Other,chicago,area_5,25,51.8
Other,chicago,area_5,25,59.45
Other,chicago,area_5,25,57.01
Other,chicago,area_5,25,53.73
Other,chicago,area_5,25,55.98
Other,chicago,area_5,25,52.29
Other,chicago,area_5,25,52.17
Other,chicago,area_5,25,57.69
Other,chicago,area_5,25,57.11
Other,chicago,area_5,25,58.44
Other,chicago,area_5,25,59.23
Other,chicago,area_5,25,54.31
Other,chicago,area_5,25,57.58
Other,chicago,area_5,25,54.83
Other,chicago,area_5,25,55.73
Other,chicago,area_5,25,57.46
Other,chicago,area_5,25,55.7
Other,chicago,area_5,25,51.05
Other,chicago,area_5,25,55.87
Other,chicago,area_5,25,59.48
Other,chicago,area_5,25,65.11
Other,chicago,area_5,25,57.07
Other,chicago,area_5,25,61.58
Other,chicago,area_5,25,58.55
Other,chicago,area_5,25,58.4
Other,chicago,area_5,25,58.35
Other,chicago,area_5,25,68.45
Other,chicago,area_5,25,58.76
Other,chicago,area_5,25,60.08
Other,chicago,area_5,25,58.9
Other,chicago,area_5,25,54.21
Other,chicago,area_5,25,54.25
Other,chicago,area_5,25,62.93
Other,chicago,area_5,25,59.16
Other,chicago,area_5,25,62.35
Other,chicago,area_5,25,55.2
Other,chicago,area_5,25,57.86
Other,chicago,area_5,25,59.95
Other,chicago,area_5,25,56.2
Other,chicago,area_5,25,54.99
Other,chicago,area_5,25,59.24
Other,chicago,area_5,25,56.68
Other,chicago,area_5,25,52.3
Other,chicago,area_5,25,56.79
Other,chicago,area_5,25,69.45
Other,chicago,area_5,25,60.41
Other,chicago,area_5,25,52.9
Other,chicago,area_5,25,66.99
Other,chicago,area_5,25,67.55
Other,chicago,area_5,25,64.37
Other,chicago,area_5,25,56.36
Other,chicago,area_5,25,57.35
Other,chicago,area_5,25,57.95
Other,chicago,area_5,25,51.88
Other,chicago,area_5,25,63.8
Other,chicago,area_5,25,60.1
Other,chicago,area_5,25,55.94
Other,chicago,area_5,25,57.69
Other,chicago,area_5,25,49.5
Other,chicago,area_5,25,49.71
Other,chicago,area_5,25,53.9
Other,chicago,area_5,25,56.45
Other,chicago,area_5,25,53.16
Other,chicago,area_5,25,56.11
Other,chicago,area_5,25,49.62
Other,chicago,area_5,25,62.51
Other,chicago,area_5,25,63.59
Other,chicago,area_5,25,62.12
Other,chicago,area_5,25,63.11
Other,chicago,area_5,25,61.77
Other,chicago,area_5,25,65.41
Other,chicago,area_5,25,61.06
Other,chicago,area_5,25,59
Other,chicago,area_5,25,63.59
Other,chicago,area_5,25,66.01
Other,chicago,area_5,25,62.73
Other,chicago,area_5,25,58.17
Other,chicago,area_5,25,65.21
Other,chicago,area_5,25,57.22
Other,chicago,area_5,25,64.22
Other,chicago,area_5,25,61.8
Other,chicago,area_5,25,58.5
Other,chicago,area_5,25,63.86
Other,chicago,area_5,25,59.64
Other,chicago,area_5,25,60.93
Other,chicago,area_5,25,56.47
Other,chicago,area_5,25,57.23
Other,chicago,area_5,25,60.38
Other,chicago,area_5,25,67.61
Other,chicago,area_3,24,53.58
Other,chicago,area_3,24,48.8
Other,chicago,area_3,24,55.46
Other,chicago,area_3,24,56.48
Other,chicago,area_3,24,58.78
Other,chicago,area_3,24,63.02
Other,chicago,area_3,24,61.9
Other,chicago,area_3,24,63.88
Other,chicago,area_3,24,59.83
Other,chicago,area_3,24,61.59
Other,chicago,area_3,24,58.38
Other,chicago,area_3,24,60.19
Other,chicago,area_3,24,61.49
Other,chicago,area_3,24,61.78
Other,chicago,area_3,24,58.96
Other,chicago,area_3,24,64.52
Other,chicago,area_3,24,62.71
Other,chicago,area_3,24,63.57
Other,chicago,area_3,24,61.66
Other,chicago,area_3,24,62.52
Other,chicago,area_3,24,62.33
Other,chicago,area_3,24,68.31
Other,chicago,area_3,24,65.26
Other,chicago,area_3,24,65.42
Other,chicago,area_3,24,57.94
Other,chicago,area_3,24,54.15
Other,chicago,area_3,24,55.04
Other,chicago,area_3,24,60.19
Other,chicago,area_3,24,70.71
Other,chicago,area_3,24,60.79
Other,chicago,area_3,24,56.8
Other,chicago,area_3,24,65.11
Other,chicago,area_3,24,61.49
Other,chicago,area_3,24,67.9
Other,chicago,area_3,24,61.84
Other,chicago,area_3,24,58.4
Other,chicago,area_3,24,68.49
Other,chicago,area_3,24,62.93
Other,chicago,area_3,24,63.45
Other,chicago,area_3,24,59
Other,chicago,area_3,24,66.08
Other,chicago,area_3,24,63.86
Other,chicago,area_3,24,54.59
Other,chicago,area_3,24,61.55
Other,chicago,area_3,24,67.69
Other,chicago,area_3,24,59.58
Other,chicago,area_3,24,63.11
Other,chicago,area_3,24,66.25
Other,chicago,area_3,24,68.75
Other,chicago,area_3,24,63.54
Other,chicago,area_3,24,60.87
Other,chicago,area_3,24,61.3
Other,chicago,area_3,24,63.88
Other,chicago,area_3,24,54.52
Other,chicago,area_3,24,58.21
Other,chicago,area_3,24,64.02
Other,chicago,area_3,24,60.63
Other,chicago,area_3,24,59.86
Other,chicago,area_3,24,65.48
Other,chicago,area_3,24,57.44
Other,chicago,area_3,24,57.09
Other,chicago,area_3,24,69.38
Other,chicago,area_3,24,68.96
Other,chicago,area_3,24,68.15
Other,chicago,area_3,24,58.69
Other,chicago,area_3,24,62.95
Other,chicago,area_3,24,69.82
Other,chicago,area_3,24,65.79
Other,chicago,area_3,24,67.33
Other,chicago,area_3,24,57.26
Other,chicago,area_3,24,66.1
Other,chicago,area_3,24,65
Other,chicago,area_3,24,70.1
Other,chicago,area_3,24,61.92
