"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2021,202101,1902,2021010114983,5304.0,2021000019021,160001,4,1,5304.0,0,0,1,22,6,1,100,0,0,7,71,1,10,10000,1,11
2021,202101,2994,2021000021366,25116.0,2021000029941,270201,1,2,29172.0,0,0,2,21,6,2,200,0,0,6,63,1,10,1000,1,11
2021,202101,3150,2021000032187,14664.0,2021000031501,100001,1,1,14664.0,0,0,2,55,4,1,100,0,0,6,63,1,10,21000,1,11
2021,202101,3306,2021000042884,2964.0,2021000033061,250001,1,1,3120.0,0,0,1,57,6,2,200,0,0,4,40,1,10,24000,1,11
2021,202101,3618,2021000063494,13260.0,2021000036181,130301,1,1,13104.0,4,0,2,40,1,1,100,0,0,11,114,1,10,85000,1,11
2021,202101,3618,2021000063494,13260.0,2021000036181,130301,1,2,14820.0,4,0,1,43,1,1,100,0,0,10,101,1,10,414000,1,11
2021,202101,3774,2021000076589,2808.0,2021000037741,250001,1,1,2808.0,2,0,1,38,1,9,901,0,0,11,114,1,10,75000,1,11
2021,202101,3774,2021000076589,2808.0,2021000037741,250001,1,2,2808.0,2,0,2,39,1,1,100,0,0,10,101,1,10,45000,1,11
2021,202101,3930,2021000087465,19188.0,2021000039301,160001,1,1,19188.0,1,0,2,48,1,1,100,0,0,10,101,1,10,50000,1,11
2021,202101,3930,2021000087465,19188.0,2021000039301,160001,1,2,17472.0,1,0,1,60,1,1,100,0,0,6,63,1,10,78000,1,11
2021,202101,3930,2021000087465,19188.0,2021000039301,160001,1,3,21528.0,0,0,2,22,6,1,100,0,0,7,71,1,10,19000,1,11
2021,202101,4086,2021000098869,56160.0,2021000040861,20001,1,1,56160.0,1,1,1,36,1,1,100,0,0,6,63,1,10,65000,2,20
2021,202101,4242,2021000110516,6240.0,2021000042421,160001,1,2,9360.0,0,0,1,25,6,7,700,1,100,10,101,1,10,20000,1,11
